hts8,category,country_group,ch99_code,effective_date_start
29038970,pharma,swiss,9903.02.86,2026-01-01
29039200,pharma,eu,9903.02.77,2025-09-25
29039200,pharma,swiss,9903.02.86,2026-01-01
29039300,pharma,eu,9903.02.77,2025-09-25
29039300,pharma,swiss,9903.02.86,2026-01-01
29039400,pharma,eu,9903.02.77,2025-09-25
29039400,pharma,swiss,9903.02.86,2026-01-01
29039920,pharma,eu,9903.02.77,2025-09-25
29039920,pharma,swiss,9903.02.86,2026-01-01
29039980,pharma,eu,9903.02.77,2025-09-25
29039980,pharma,swiss,9903.02.86,2026-01-01
29041032,pharma,eu,9903.02.77,2025-09-25
29041032,pharma,swiss,9903.02.86,2026-01-01
29041050,pharma,eu,9903.02.77,2025-09-25
29041050,pharma,swiss,9903.02.86,2026-01-01
29042010,pharma,eu,9903.02.77,2025-09-25
29042010,pharma,swiss,9903.02.86,2026-01-01
29042015,pharma,eu,9903.02.77,2025-09-25
29042015,pharma,swiss,9903.02.86,2026-01-01
29042020,pharma,eu,9903.02.77,2025-09-25
29042020,pharma,swiss,9903.02.86,2026-01-01
29042030,pharma,eu,9903.02.77,2025-09-25
29042030,pharma,swiss,9903.02.86,2026-01-01
29042035,pharma,eu,9903.02.77,2025-09-25
29042035,pharma,swiss,9903.02.86,2026-01-01
29042040,pharma,eu,9903.02.77,2025-09-25
29042040,pharma,swiss,9903.02.86,2026-01-01
29042045,pharma,eu,9903.02.77,2025-09-25
29042045,pharma,swiss,9903.02.86,2026-01-01
29042050,pharma,eu,9903.02.77,2025-09-25
29042050,pharma,swiss,9903.02.86,2026-01-01
29049904,pharma,eu,9903.02.77,2025-09-25
29049904,pharma,swiss,9903.02.86,2026-01-01
29049908,pharma,eu,9903.02.77,2025-09-25
29049908,pharma,swiss,9903.02.86,2026-01-01
29049915,pharma,eu,9903.02.77,2025-09-25
29049915,pharma,swiss,9903.02.86,2026-01-01
29049920,pharma,eu,9903.02.77,2025-09-25
29049920,pharma,swiss,9903.02.86,2026-01-01
29049930,pharma,eu,9903.02.77,2025-09-25
29049930,pharma,swiss,9903.02.86,2026-01-01
29049935,pharma,eu,9903.02.77,2025-09-25
29049935,pharma,swiss,9903.02.86,2026-01-01
29049940,pharma,eu,9903.02.77,2025-09-25
29049940,pharma,swiss,9903.02.86,2026-01-01
29049947,pharma,eu,9903.02.77,2025-09-25
29049947,pharma,swiss,9903.02.86,2026-01-01
29049950,pharma,eu,9903.02.77,2025-09-25
29049950,pharma,swiss,9903.02.86,2026-01-01
29051120,pharma,eu,9903.02.77,2025-09-25
29051120,pharma,swiss,9903.02.86,2026-01-01
29051200,pharma,eu,9903.02.77,2025-09-25
29051200,pharma,swiss,9903.02.86,2026-01-01
29051300,pharma,eu,9903.02.77,2025-09-25
29051300,pharma,swiss,9903.02.86,2026-01-01
29051910,pharma,eu,9903.02.77,2025-09-25
29051910,pharma,swiss,9903.02.86,2026-01-01
29051990,pharma,eu,9903.02.77,2025-09-25
29051990,pharma,swiss,9903.02.86,2026-01-01
29052210,pharma,eu,9903.02.77,2025-09-25
29052210,pharma,swiss,9903.02.86,2026-01-01
29052220,pharma,eu,9903.02.77,2025-09-25
29052220,pharma,swiss,9903.02.86,2026-01-01
29052250,pharma,eu,9903.02.77,2025-09-25
29052250,pharma,swiss,9903.02.86,2026-01-01
29052990,pharma,eu,9903.02.77,2025-09-25
29052990,pharma,swiss,9903.02.86,2026-01-01
29053100,pharma,eu,9903.02.77,2025-09-25
29053100,pharma,swiss,9903.02.86,2026-01-01
29053200,pharma,eu,9903.02.77,2025-09-25
29053200,pharma,swiss,9903.02.86,2026-01-01
29053990,pharma,eu,9903.02.77,2025-09-25
29053990,pharma,swiss,9903.02.86,2026-01-01
29054920,pharma,eu,9903.02.77,2025-09-25
29054920,pharma,swiss,9903.02.86,2026-01-01
29054950,pharma,eu,9903.02.77,2025-09-25
29054950,pharma,swiss,9903.02.86,2026-01-01
29055100,pharma,eu,9903.02.77,2025-09-25
