hts10,effective_date_start,effective_date_end
2612100000,NA,NA
2612200000,2025-09-08,NA
2613900000,2025-09-08,NA
2614003000,NA,NA
2614006000,NA,NA
2614006020,NA,NA
2614006040,NA,NA
2615903000,NA,NA
2615906000,NA,NA
2615906030,NA,NA
2615906060,NA,NA
2615906090,NA,NA
2616100000,NA,NA
2616100010,NA,NA
2616100020,NA,NA
2616100030,NA,NA
2616100040,NA,NA
2616100080,NA,NA
2617100000,NA,NA
2620300000,NA,NA
2620300010,NA,NA
2620300020,NA,NA
2620300030,NA,NA
2620300040,NA,NA
2620300050,NA,NA
2620995000,NA,NA
2701110000,NA,NA
2701120000,NA,NA
2701120010,NA,NA
2701120050,NA,NA
2701190000,NA,NA
2701190010,NA,NA
2701190050,NA,NA
2701200000,NA,NA
2702100000,NA,NA
2702200000,NA,NA
2703000000,NA,NA
2704000000,NA,NA
2704000011,NA,NA
2704000025,NA,NA
2704000050,NA,NA
2705000000,NA,NA
2706000000,NA,NA
2707100000,NA,NA
2707200000,NA,NA
2707300000,NA,NA
2707300010,NA,NA
2707300020,NA,NA
2707300030,NA,NA
2707300040,NA,NA
2707400000,NA,NA
2707500000,NA,NA
2707910000,NA,NA
2707991000,NA,NA
2707992000,NA,NA
2707994000,NA,NA
2707995100,NA,NA
2707995500,NA,NA
2707995900,NA,NA
2707999000,NA,NA
2707999010,NA,NA
2707999090,NA,NA
2708100000,NA,NA
2708200000,NA,NA
2709001000,NA,NA
2709002000,NA,NA
2709002010,NA,NA
2709002090,NA,NA
2710121500,NA,NA
2710121510,NA,NA
2710121514,NA,NA
2710121519,NA,NA
2710121520,NA,NA
2710121550,NA,NA
2710121800,NA,NA
2710121805,NA,NA
2710121890,NA,NA
2710122500,NA,NA
2710124500,NA,NA
2710124545,NA,NA
2710124560,NA,NA
2710124595,NA,NA
2710129000,NA,NA
2710190600,NA,NA
2710190605,NA,NA
2710190615,NA,NA
2710190625,NA,NA
2710190630,NA,NA
2710190635,NA,NA
2710190650,NA,NA
2710191100,NA,NA
2710191102,NA,NA
2710191103,NA,NA
2710191104,NA,NA
2710191105,NA,NA
2710191107,NA,NA
2710191108,NA,NA
2710191111,NA,NA
2710191113,NA,NA
2710191114,NA,NA
2710191115,NA,NA
2710191125,NA,NA
2710191150,NA,NA
2710191600,NA,NA
2710192400,NA,NA
2710192500,NA,NA
2710192600,NA,NA
