ch99_code,hts10,n_months,imports_usd,realized_vw,stat_other_vw,full_301_vw,claim_share_raw_vw,claim_share
9903.88.69,8452100090,7,6547230,0.2544908304733452,0.22744951354564125,0.15,0.819724553815307,0.819724553815307
9903.88.69,8711100000,6,6251061,0.2897242564102318,0.19875631246172987,0.25,0.6361282242059921,0.6361282242059921
9903.88.69,8501404020,6,6057237,0.476359931103901,0.35110308546141294,0.25,0.4989726174300476,0.4989726174300476
9903.88.69,9018199550,6,5913532,0.3265121419821521,0.21005312001436063,0.25,0.534163912128834,0.534163912128834
9903.88.69,9025198010,6,5807719,0.23994945347734628,0.11092754118638119,0.25,0.4839123508361397,0.4839123508361397
9903.88.69,8407909010,6,5624224,0.35600360156352234,0.2408904597918814,0.25,0.5395474329134362,0.5395474329134362
9903.88.69,9022140000,6,5448032,0.43390861140316356,0.203512939604788,0.25,0.07841731280649786,0.07841731280649786
9903.88.69,8524119000,7,5215844,0.18941498250331107,0.13334469785856878,0.15,0.6261981023683849,0.6261981023683849
9903.88.69,8436800090,6,5058959,0.3980184460874263,0.17703778696650552,0.25,0.11607736351631691,0.11607736351631691
9903.88.69,3815110000,6,4343142,0.2753064486493879,0.12839093646291755,0.25,0.41233795125411843,0.41233795125411843
9903.88.69,9022904000,6,4110580,0.24804455818886872,0.19659675643352767,0.25,0.7942087929786359,0.7942087929786359
9903.88.69,9018119000,6,3437355,0.4674370264345696,0.21396364535827003,0.25,-0.01389352430519836,0
9903.88.69,3919905040,6,2935762,0.4861845067822255,0.24764817830535832,0.25,0.04585468609253105,0.04585468609253105
9903.88.69,8420999000,6,2810748,0.27603470677556297,0.18659893914360162,0.25,0.6422569294721547,0.6422569294721547
9903.88.69,2805110000,6,2519107,0.2623461409142208,0.18921237360133053,0.25,0.707464930748439,0.707464930748439
9903.88.69,9030904600,6,2466696,0.19630469259284483,0.04968945407907891,0.25,0.41353904594493623,0.41353904594493623
9903.88.69,6302319040,7,2361474,0.33939183747100327,0.27663264530059256,0.15,0.581605385530595,0.581605385530595
9903.88.69,3808945010,6,2303635,0.1898981392451495,0.10482421472801673,0.25,0.6597043019314688,0.6597043019314688
9903.88.69,8607211000,6,2224456,0.27882997011404137,0.21536833229840732,0.25,0.7461534487374638,0.7461534487374638
9903.88.69,6001102000,6,2037271,0.526289825948536,0.3601224358230669,0.25,0.33533043949812347,0.33533043949812347
9903.88.69,5007200065,6,1866056,0.34724842126924377,0.12012686752421253,0.25,0.09151378501987491,0.09151378501987491
9903.88.69,9022120000,6,1509024,0.46405756303412005,0.21826964379120606,0.25,0.016848323028344155,0.016848323028344155
9903.88.69,5007200085,6,782800,0.16082396525293818,0.11218564128768525,0.25,0.8054467041389881,0.8054467041389881
9903.88.69,0304831015,5,717542,0.13767277734265032,0.2002970896278048,0.25,1.2504972491406179,1
9903.88.69,9401911500,7,538065,0.30164199492626353,0.21460012398926845,0.15,0.41972086042003265,0.41972086042003265
9903.88.69,9403995005,6,537775,0.3032941285853749,0.19569545769495564,0.25,0.5696053164383229,0.5696053164383229
9903.88.69,1605102090,5,530864,0.3365946833840682,0.2062968983895436,0.25,0.47880886002190143,0.47880886002190143
9903.88.69,0304831020,6,495498,0.11643235694190492,0.1893710565166858,0.25,1.2917547982991235,1
9903.88.69,0304835090,6,298935,0.18771639319584524,0.1766557588964634,0.25,0.9557574628024726,0.9557574628024726
9903.88.69,2917125000,5,120068,0.4567661658393577,0.21807011694816744,0.25,0.04521580443523887,0.04521580443523887
9903.88.69,1605102022,3,96067,0.4818512080110756,0.23401953101183848,0.25,0.008673292003051612,0.008673292003051612
9903.88.70,8486200000,6,80576010,0.3226102533496012,0.11826360651797689,0.25,0.18261341267350278,0.18261341267350278
9903.88.70,8486400030,6,24128988,0.26893336761574915,0.08942261959921798,0.25,0.2819570079338752,0.2819570079338752
9903.88.70,8486100000,6,3501438,0.2957344953701879,0.12591319331140657,0.25,0.32071479176487466,0.32071479176487466
